sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
oy44,5,NC_033778.1,1,111453,1,367,0.329287,0.00329287,31.9,1,552509,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Leptopilina boulardi filamentous virus,0.003292868,0.057288959,17.39789207,0
oy44,8,NC_074583.1,1,4387,2,294,6.70162,0.0879872,41.2,8.5,2786405,Viruses,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Gihfavirus,Gihfavirus pelohabitans,0.087987235,0.349553405,3.972774065,0.01
oy44,3,NC_025464.1,1,44147,1,249,0.564025,0.00564025,33,0,754059,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Poseidonvirus,Poseidonvirus SCBP4,0.005640247,0.074889485,13.27769516,0
oy44,2,NC_019491.1,1,291144,1,193,0.0662902,0.000662902,30.5,0,317858,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo1,0.000662902,0.025738352,38.82677085,0
oy44,1,NC_008168.1,1,104710,30299,187,0.178588,24.426,38.6,8.37,56947,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Baculoviridae,Betabaculovirus,Betabaculovirus chofumiferanae,24.42602426,841.7041758,34.45931957,99.96
oy44,0,NC_001875.2,1,131995,1,137,0.103792,0.00103792,40.1,7,262177,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Baculoviridae,Alphabaculovirus,Alphabaculovirus orpseudotsugatae,0.001037918,0.032200013,31.02365474,0
oy44,4,NC_032111.1,1,163005,1,122,0.0748443,0.000748443,39.6,17,67082,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Oryzopoxvirus,BeAn 58058 virus,0.000748443,0.027347452,36.53910997,0
oy44,7,NC_074405.1,1,3924,1,117,2.98165,0.0298165,42.7,15,2786389,Viruses,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Kinglevirus,Kinglevirus lutadaptatum,0.029816514,0.170080832,5.704249428,0
oy44,9,NC_075136.1,1,668031,1,98,0.01467,0.0001467,36.5,8,2060617,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Allomimiviridae,Oceanusvirus,Oceanusvirus kaneohense,0.0001467,0.01211108,82.55690678,0
oy44,6,NC_040536.1,1,183261,2,91,0.049656,0.000949466,38.4,37.5,2072209,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Nudiviridae,Alphanudivirus,Alphanudivirus tertidromelanogasteris,0.000949466,0.043062466,45.35442842,0.01
