sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
m15,4,NC_022790.1,1,4129,16,2735,66.2388,1.53064,35.6,55.3,1385658,Viruses,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,unclassified Microviridae genus,Marine gokushovirus,1.5306369581012351,1.514471599253512,0.9894388027401505,0.55
m15,2,NC_014748.1,1,5639,7,2222,39.4041,0.60454,35.1,54.7,3052706,Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Baphyvirales,Bacilladnaviridae,Protobacilladnavirus,Protobacilladnavirus tenuis,0.6045398120234085,1.0208088358465703,1.688571729,0.24
m15,10,NC_032206.1,1,8955,2,1407,15.7119,0.157119,33,60,1922578,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picorna-like virus 35,0.15711892797319932,0.3639128610612018,2.3161618129374997,0.07
m15,12,NC_032617.1,1,8626,3,1385,16.0561,0.287271,31.8,43.7,1922535,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picorna-like virus 107,0.28727104103872014,0.7193898250710279,2.5042197865466855,0.1
m15,16,NC_048671.1,1,40907,2,1204,2.94326,0.0294326,37.4,8,2847823,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Zobellviridae,Veravirus,Veravirus septentrionalis,0.029432615444789402,0.16901578799883785,5.742465813678122,0.07
m15,8,NC_032154.1,1,3073,2,531,17.2795,0.322812,31.9,12.5,1922709,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai sphaeromadae virus 3,0.32281158477058247,0.7201644305288126,2.230912595781292,0.07
m15,19,NC_077036.1,1,6089,4,529,8.6878,0.339136,37.7,35.5,748192,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,unclassified Parvoviridae genus,uncultured densovirus,0.3391361471505994,1.1035025275171897,3.2538629007516553,0.14
m15,6,NC_029100.1,1,33399,1,457,1.3683,0.013683,40.1,60,1667322,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pseudoalteromonas phage Pq0,0.013683044402527022,0.11617150553558976,8.490179679,0.03
m15,15,NC_040628.1,1,8620,1,382,4.43155,0.0443155,27.9,60,2480178,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Halhan virus 3,0.044315545,0.20579523243598238,4.6438610041836865,0.03
m15,11,NC_032533.1,1,9450,1,350,3.7037,0.037037,31.8,60,1922546,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picorna-like virus 117,0.037037037037037035,0.18885257457751115,5.099019513592801,0.03
m15,18,NC_074583.1,1,4387,7,292,6.65603,0.376795,34.5,40.4,2786405,Viruses,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Gihfavirus,Gihfavirus pelohabitans,0.37679507636197856,1.4749761128813155,3.9145312808289963,0.24
m15,14,NC_040536.1,1,183261,13,268,0.14624,0.0064389,37.8,9.54,2072209,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Nudiviridae,Alphanudivirus,Alphanudivirus tertidromelanogasteris,0.006438904,0.2416153001455262,37.524289423702776,0.44
m15,3,NC_015293.1,1,30651,1,249,0.812372,0.00812372,37.6,0,877240,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pseudoalteromonas phage H105/1,0.008123715,0.089764807,11.049723324236176,0.03
m15,0,NC_001741.1,1,4877,1,176,3.60878,0.0360878,39.6,3,2003327,Viruses,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Chlamydiamicrovirus,Chlamydiamicrovirus Chp1,0.036087758868156655,0.18650853205156728,5.168193811451668,0.03
m15,17,NC_074405.1,1,3924,3,136,3.46585,0.103211,34.1,18.3,2786389,Viruses,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Kinglevirus,Kinglevirus lutadaptatum,0.10321100917431193,0.5453911102322698,5.284233868028214,0.1
m15,1,NC_008168.1,1,104710,2850,91,0.0869067,2.35823,34.9,26.4,56947,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Baculoviridae,Betabaculovirus,Betabaculovirus chofumiferanae,2.358227485435966,80.61339991165138,34.18389464523961,97.47
